NA      | 103.29.63.253    | NA                  | LK | apnic    | 2011-05-17 | NA
15557   | 92.94.96.45      | 92.88.0.0/13        | FR | ripencc  | 2007-10-17 | LDCOMNET Societe Francaise du Radiotelephone S.A,FR
15557   | 92.95.177.97     | 92.88.0.0/13        | FR | ripencc  | 2007-10-17 | LDCOMNET Societe Francaise du Radiotelephone S.A,FR
15557   | 93.1.174.199     | 93.0.0.0/11         | FR | ripencc  | 2007-10-30 | LDCOMNET Societe Francaise du Radiotelephone S.A,FR
15557   | 93.19.49.159     | 93.0.0.0/11         | FR | ripencc  | 2007-10-30 | LDCOMNET Societe Francaise du Radiotelephone S.A,FR
15557   | 93.26.147.204    | 93.0.0.0/11         | FR | ripencc  | 2007-10-30 | LDCOMNET Societe Francaise du Radiotelephone S.A,FR
15557   | 93.28.60.178     | 93.0.0.0/11         | FR | ripencc  | 2007-10-30 | LDCOMNET Societe Francaise du Radiotelephone S.A,FR
15557   | 93.28.88.213     | 93.0.0.0/11         | FR | ripencc  | 2007-10-30 | LDCOMNET Societe Francaise du Radiotelephone S.A,FR
15557   | 93.28.91.184     | 93.0.0.0/11         | FR | ripencc  | 2007-10-30 | LDCOMNET Societe Francaise du Radiotelephone S.A,FR
15557   | 93.29.240.247    | 93.0.0.0/11         | FR | ripencc  | 2007-10-30 | LDCOMNET Societe Francaise du Radiotelephone S.A,FR
15576   | 212.103.78.20    | 212.103.64.0/19     | CH | ripencc  |            | NTS NTS Workspace AG,CH
15576   | 217.11.218.250   | 217.11.208.0/20     | CH | ripencc  | 2009-01-20 | NTS NTS Workspace AG,CH
15582   | 188.123.231.100  | 188.123.224.0/19    | RU | ripencc  | 2009-06-17 | AKADO-STOLITSA-AS OJSC Comcor,RU
15582   | 217.10.41.170    | 217.10.32.0/20      | RU | ripencc  | 2000-08-09 | AKADO-STOLITSA-AS OJSC Comcor,RU
15582   | 46.39.53.164     | 46.39.32.0/19       | RU | ripencc  | 2010-12-13 | AKADO-STOLITSA-AS OJSC Comcor,RU
15585   | 86.118.137.200   | 86.118.0.0/16       | CH | ripencc  | 2005-04-12 | BEWAN-AS Finanzdirektion Kanton Bern,CH
15594   | 217.10.64.30     | 217.10.64.0/20      | DE | ripencc  | 2000-08-10 | NETZQUADRAT [netzquadrat] GmbH,DE
15595   | 81.25.224.146    | 81.25.224.0/24      | UA | ripencc  | 2002-03-27 | SKYLINE-AS Skyline Electronics Ltd.,UA
15595   | 81.25.224.146    | 81.25.224.0/24      | UA | ripencc  | 2002-03-27 | SKYLINE-AS Skyline Electronics Ltd.,UA
15595   | 81.25.224.29     | 81.25.224.0/24      | UA | ripencc  | 2002-03-27 | SKYLINE-AS Skyline Electronics Ltd.,UA
15598   | 80.190.128.27    | 80.190.128.0/19     | DE | ripencc  | 2002-07-17 | QSC-AG-IPX QSC AG,DE
15598   | 80.190.133.149   | 80.190.128.0/19     | DE | ripencc  | 2002-07-17 | QSC-AG-IPX QSC AG,DE
15598   | 80.190.172.81    | 80.190.0.0/16       | DE | ripencc  | 2002-07-17 | QSC-AG-IPX QSC AG,DE
15600   | 5.145.33.175     | 5.145.32.0/19       | CH | ripencc  | 2012-07-12 | FINECOM Quickline AG,CH
15600   | 5.149.53.10      | 5.149.32.0/19       | CH | ripencc  | 2012-07-16 | FINECOM Quickline AG,CH
15600   | 62.204.124.42    | 62.204.96.0/19      | CH | ripencc  | 2001-10-01 | FINECOM Quickline AG,CH
15605   | 109.73.81.4      | 109.73.80.0/20      | IT | ripencc  | 2009-10-08 | ICTVALLEUMBRA-AS ICT Valle Umbra s.r.l.,IT
15614   | 178.209.128.0    | 178.209.128.0/19    | CZ | ripencc  | 2010-06-03 | DRAGON Dragon Internet a.s.,CZ
15623   | 62.12.171.171    | 62.12.128.0/17      | CH | ripencc  | 2000-04-10 | CYBERLINK Cyberlink AG,CH
15626   | 217.12.205.53    | 217.12.192.0/19     | UA | ripencc  | 2000-08-25 | ITLAS ITL Company,UA
15626   | 217.12.205.59    | 217.12.192.0/19     | UA | ripencc  | 2000-08-25 | ITLAS ITL Company,UA
15630   | 62.204.193.11    | 62.204.192.0/19     | ES | ripencc  | 2000-06-30 | UNED Universidad Nacional de Educacion a Distancia - UNED,ES
15657   | 80.81.248.249    | 80.81.240.0/20      | DE | ripencc  | 2005-04-05 | SPEEDBONE-AS Speedbone Internet & Connectivity GmbH,DE
15659   | 213.187.179.198  | 213.187.160.0/19    | NO | ripencc  | 2001-09-19 | NEXTGENTEL NextGenTel AS,NO
15659   | 80.203.138.250   | 80.202.0.0/15       | NO | ripencc  | 2001-12-04 | NEXTGENTEL NextGenTel AS,NO
15659   | 89.10.154.178    | 89.10.0.0/15        | NO | ripencc  | 2006-06-29 | NEXTGENTEL NextGenTel AS,NO
15659   | 89.10.155.88     | 89.10.0.0/15        | NO | ripencc  | 2006-06-29 | NEXTGENTEL NextGenTel AS,NO
15665   | 213.135.33.97    | 213.135.32.0/21     | PL | ripencc  | 2000-10-19 | WOLA-AS Instytut Geofizyki PAN,PL
15672   | 89.21.157.110    | 89.21.152.0/21      | RU | ripencc  | 2006-09-20 | TZTELECOM OOO Telecom TZ,RU
15673   | 109.229.74.74    | 109.229.64.0/20     | RU | ripencc  | 2010-06-02 | TELESETI-PLUS-AS Teleseti Plus Ltd.,RU
15673   | 91.210.54.93     | 91.210.52.0/22      | RU | ripencc  | 2008-10-14 | TELESETI-PLUS-AS Teleseti Plus Ltd.,RU
15683   | 78.27.155.27     | 78.27.128.0/18      | UA | ripencc  | 2010-06-11 | DOMASHKA-AS Domashnya Merezha, LLC,UA
15683   | 78.27.190.13     | 78.27.128.0/18      | UA | ripencc  | 2010-06-11 | DOMASHKA-AS Domashnya Merezha, LLC,UA
15685   | 217.11.224.233   | 217.11.224.0/19     | CZ | ripencc  | 2000-08-23 | CASABLANCA-AS Casablanca INT,CZ
15685   | 81.0.215.98      | 81.0.192.0/18       | CZ | ripencc  | 2001-12-14 | CASABLANCA-AS Casablanca INT,CZ
15685   | 81.0.223.19      | 81.0.192.0/18       | CZ | ripencc  | 2001-12-14 | CASABLANCA-AS Casablanca INT,CZ
15685   | 82.208.31.38     | 82.208.0.0/18       | CZ | ripencc  | 2003-09-16 | CASABLANCA-AS Casablanca INT,CZ
15689   | 46.18.48.13      | 46.18.48.0/21       | GB | ripencc  | 2010-10-25 | ASNUM-ORG-AISN1-RIPE Advanced IT Services Nottingham LTD,GB
15693   | 46.183.248.14    | 46.183.248.0/21     | NL | ripencc  | 2010-12-14 | BUSINESSCONNECT BusinessConnect B.V.,NL
15695   | 223.27.167.18    | 223.27.167.0/24     | SG | apnic    | 2010-09-01 | EXPEREO Expereo International BV,NL
15695   | 37.26.226.46     | 37.26.226.0/24      | NL | ripencc  | 2011-12-29 | EXPEREO Expereo International BV,NL
15695   | 74.122.108.46    | 74.122.108.0/24     | US | arin     | 2010-02-11 | EXPEREO Expereo International BV,NL
15695   | 74.122.110.46    | 74.122.110.0/24     | US | arin     | 2010-02-11 | EXPEREO Expereo International BV,NL
15695   | 91.103.23.38     | 91.103.23.0/24      | NL | ripencc  | 2006-11-15 | EXPEREO Expereo International BV,NL
15696   | 92.61.176.166    | 92.61.176.0/21      | IR | ripencc  | 2008-01-02 | ARIAN-AS Communication and information technology network Arian Rasaneh Pars _Ltd._,IR
15699   | 212.36.67.3      | 212.36.64.0/19      | ES | ripencc  | 2003-07-04 | AS_ADAM OGIC Informatica S.L.,ES
15699   | 212.36.85.154    | 212.36.64.0/19      | ES | ripencc  | 2003-07-04 | AS_ADAM OGIC Informatica S.L.,ES
15713   | 195.93.190.11    | 195.93.190.0/24     | UA | ripencc  | 2007-12-21 | GCN-UA LLC Global-City-Net,UA
15716   | 95.128.32.187    | 95.128.32.0/23      | CH | ripencc  | 2009-01-19 | SYGROUP Adfinis SyGroup AG,CH
15716   | 95.128.34.12     | 95.128.32.0/21      | CH | ripencc  | 2009-01-19 | SYGROUP Adfinis SyGroup AG,CH
15723   | 88.151.198.249   | 88.151.192.0/21     | AZ | ripencc  | 2008-06-23 | AZERONLINE Azeronline Information Services,AZ
15725   | 217.17.192.13    | 217.17.192.0/20     | DE | ripencc  | 2000-09-18 | IKS IKS Service GmbH,DE
15732   | 83.230.253.74    | 83.230.128.0/17     | ES | ripencc  | 2004-05-24 | IBERBANDA-SPAIN Iberbanda S.A.,ES
15735   | 195.158.89.201   | 195.158.80.0/20     | MT | ripencc  |            | DATASTREAM-NET GO p.l.c.,MT
15738   | 80.254.15.9      | 80.254.0.0/20       | UA | ripencc  | 2001-12-17 | UAEXPRESS TOV BF Express Ltd,UA
15754   | 195.208.98.254   | 195.208.98.0/24     | RU | ripencc  |            | TECHNOLOGY45-AS Limited Liability Company _Technologiya_,RU
15763   | 212.29.34.210    | 212.29.32.0/19      | DE | ripencc  |            | ASDOKOM DOKOM Gesellschaft fuer Telekommunikation mbH,DE
15765   | 83.243.217.249   | 83.243.128.0/17     | NO | ripencc  | 2004-03-30 | MIMER Tafjord Marked AS,NO
15765   | 83.243.227.40    | 83.243.128.0/17     | NO | ripencc  | 2004-03-30 | MIMER Tafjord Marked AS,NO
15766   | 217.23.173.156   | 217.23.160.0/20     | GB | ripencc  | 2000-10-06 | DOMICILIUM-AS Domicilium (IOM) Limited,GB
15772   | 217.20.191.2     | 217.20.176.0/20     | UA | ripencc  | 2003-06-25 | WNET LLC _WNET UKRAINE_,UA
15772   | 217.20.191.46    | 217.20.176.0/20     | UA | ripencc  | 2003-06-25 | WNET LLC _WNET UKRAINE_,UA
15772   | 92.60.177.136    | 92.60.176.0/20      | UA | ripencc  | 2007-12-04 | WNET LLC _WNET UKRAINE_,UA
15782   | 81.186.241.8     | 81.186.240.0/20     | SE | ripencc  | 2003-02-17 | PERSPEKTIV-AS Perspektiv Bredband AB,SE
15793   | 217.16.193.254   | 217.16.192.0/20     | SE | ripencc  | 2000-09-12 | Donator AB,SE
15800   | 185.12.113.9     | 185.12.112.0/22     | UA | ripencc  | 2012-12-06 | COORDINATOR-AS PP _Koordinator_,UA
15802   | 80.227.44.210    | 80.227.32.0/19      | AE | ripencc  | 2001-12-14 | DU-AS1 Emirates Integrated Telecommunications Company PJSC (EITC-DU),AE
15802   | 80.227.5.11      | 80.227.0.0/19       | AE | ripencc  | 2001-12-14 | DU-AS1 Emirates Integrated Telecommunications Company PJSC (EITC-DU),AE
15802   | 91.72.219.113    | 91.72.192.0/19      | AE | ripencc  | 2006-08-15 | DU-AS1 Emirates Integrated Telecommunications Company PJSC (EITC-DU),AE
15802   | 91.75.87.238     | 91.75.64.0/19       | AE | ripencc  | 2006-08-15 | DU-AS1 Emirates Integrated Telecommunications Company PJSC (EITC-DU),AE
15802   | 94.205.152.6     | 94.205.128.0/19     | AE | ripencc  | 2008-07-17 | DU-AS1 Emirates Integrated Telecommunications Company PJSC (EITC-DU),AE
15802   | 94.207.164.54    | 94.207.160.0/19     | AE | ripencc  | 2008-07-17 | DU-AS1 Emirates Integrated Telecommunications Company PJSC (EITC-DU),AE
15808   | 41.206.39.10     | 41.206.32.0/21      | KE | afrinic  | 2007-01-31 | ACCESSKENYA-KE ACCESSKENYA GROUP LTD is an ISP serving,KE
15808   | 41.206.63.94     | 41.206.56.0/21      | KE | afrinic  | 2007-01-31 | ACCESSKENYA-KE ACCESSKENYA GROUP LTD is an ISP serving,KE
15826   | 80.247.227.224   | 80.247.224.0/20     | FR | ripencc  | 2001-11-13 | NFRANCE NFrance Conseil S.A.S.,FR
15830   | 213.52.174.190   | 213.52.172.0/22     | GB | ripencc  | 2000-10-10 | TELECITY-LON TELECITYGROUP INTERNATIONAL LIMITED,GB
15830   | 217.20.42.102    | 217.20.42.0/23      | GB | ripencc  | 2000-09-22 | TELECITY-LON TELECITYGROUP INTERNATIONAL LIMITED,GB
15835   | 193.232.226.58   | 193.232.226.0/23    | RU | ripencc  |            | MAP ROSNIIROS Russian Institute for Public Networks,RU
15879   | 212.204.214.52   | 212.204.192.0/18    | NL | ripencc  |            | ASN-IS IS Group B.V.,NL
15895   | 134.249.139.43   | 134.249.0.0/16      | UA | ripencc  | 2011-11-07 | KSNET-AS _Kyivstar_ PJSC,UA
15895   | 134.249.214.187  | 134.249.0.0/16      | UA | ripencc  | 2011-11-07 | KSNET-AS _Kyivstar_ PJSC,UA
15895   | 134.249.216.23   | 134.249.0.0/16      | UA | ripencc  | 2011-11-07 | KSNET-AS _Kyivstar_ PJSC,UA
15895   | 134.249.72.117   | 134.249.0.0/16      | UA | ripencc  | 2011-11-07 | KSNET-AS _Kyivstar_ PJSC,UA
15895   | 176.8.244.6      | 176.8.0.0/16        | UA | ripencc  | 2011-05-13 | KSNET-AS _Kyivstar_ PJSC,UA
15895   | 178.137.234.221  | 178.137.0.0/16      | UA | ripencc  | 2010-03-29 | KSNET-AS _Kyivstar_ PJSC,UA
15895   | 188.163.81.180   | 188.163.0.0/17      | UA | ripencc  | 2009-05-22 | KSNET-AS _Kyivstar_ PJSC,UA
15895   | 37.115.37.117    | 37.115.0.0/16       | UA | ripencc  | 2012-02-10 | KSNET-AS _Kyivstar_ PJSC,UA
15895   | 37.229.45.221    | 37.229.0.0/16       | UA | ripencc  | 2012-04-10 | KSNET-AS _Kyivstar_ PJSC,UA
15895   | 37.229.82.77     | 37.229.0.0/16       | UA | ripencc  | 2012-04-10 | KSNET-AS _Kyivstar_ PJSC,UA
15895   | 46.185.110.34    | 46.185.0.0/17       | UA | ripencc  | 2010-11-10 | KSNET-AS _Kyivstar_ PJSC,UA
15895   | 46.211.42.199    | 46.211.0.0/16       | UA | ripencc  | 2010-12-17 | KSNET-AS _Kyivstar_ PJSC,UA
15895   | 5.248.39.117     | 5.248.0.0/16        | UA | ripencc  | 2012-09-12 | KSNET-AS _Kyivstar_ PJSC,UA
15895   | 5.248.66.13      | 5.248.0.0/16        | UA | ripencc  | 2012-09-12 | KSNET-AS _Kyivstar_ PJSC,UA
15897   | 185.11.14.243    | 185.11.12.0/22      | TR | ripencc  | 2012-11-23 | VODAFONETURKEY Vodafone Telekomunikasyon A.S,TR
15925   | 213.135.198.123  | 213.135.192.0/21    | DE | ripencc  | 2008-03-31 | NEXIU Occino GmbH,DE
15930   | 89.18.136.217    | 89.18.136.0/21      | RU | ripencc  | 2006-08-14 | WIPLINE-AS WIPLINE, LLC,RU
15935   | 109.238.40.80    | 109.238.32.0/20     | CZ | ripencc  | 2010-01-20 | HA-VEL-LOCAL-AS ha-vel internet s r.o.,CZ
15935   | 81.30.229.109    | 81.30.224.0/19      | CZ | ripencc  | 2002-05-27 | HA-VEL-LOCAL-AS ha-vel internet s r.o.,CZ
15943   | 213.209.123.250  | 213.209.64.0/18     | DE | ripencc  | 2000-10-12 | WTNET-AS wilhelm.tel GmbH,DE
15943   | 213.209.70.241   | 213.209.64.0/18     | DE | ripencc  | 2000-10-12 | WTNET-AS wilhelm.tel GmbH,DE
15943   | 46.16.220.117    | 46.16.220.0/22      | DE | ripencc  | 2010-10-11 | WTNET-AS wilhelm.tel GmbH,DE
15943   | 46.59.189.135    | 46.59.128.0/17      | DE | ripencc  | 2010-10-21 | WTNET-AS wilhelm.tel GmbH,DE
15943   | 46.59.195.140    | 46.59.128.0/17      | DE | ripencc  | 2010-10-21 | WTNET-AS wilhelm.tel GmbH,DE
15943   | 46.59.222.19     | 46.59.128.0/17      | DE | ripencc  | 2010-10-21 | WTNET-AS wilhelm.tel GmbH,DE
15943   | 84.46.79.245     | 84.46.0.0/17        | DE | ripencc  | 2004-09-29 | WTNET-AS wilhelm.tel GmbH,DE
15945   | 109.232.128.7    | 109.232.128.0/21    | DE | ripencc  | 2009-12-02 | PFALZKOM-NET PfalzKom, Gesellschaft fuer Telekommunikation mbH,DE
15945   | 213.206.187.189  | 213.206.160.0/19    | DE | ripencc  | 2003-07-03 | PFALZKOM-NET PfalzKom, Gesellschaft fuer Telekommunikation mbH,DE
15954   | 217.18.40.3      | 217.18.32.0/20      | ES | ripencc  | 2000-09-18 | TECNOCRATICA Tecnocratica Centro de Datos, S.L.,ES
15962   | 178.143.175.225  | 178.143.0.0/16      | SK | ripencc  | 2010-08-04 | OSK-DNI Orange Slovensko a.s.,SK
15962   | 78.141.75.154    | 78.141.64.0/18      | SK | ripencc  | 2007-07-13 | OSK-DNI Orange Slovensko a.s.,SK
15962   | 95.105.144.39    | 95.105.128.0/17     | SK | ripencc  | 2008-12-01 | OSK-DNI Orange Slovensko a.s.,SK
15962   | 95.105.186.4     | 95.105.128.0/17     | SK | ripencc  | 2008-12-01 | OSK-DNI Orange Slovensko a.s.,SK
15964   | 195.24.196.122   | 195.24.196.0/22     | CM | afrinic  |            | CAMNET-AS,CM
15965   | 193.91.33.122    | 193.91.32.0/20      | LU | ripencc  |            | AS15965 CEGECOM SA - Luxembourg,LU
15965   | 193.91.33.126    | 193.91.32.0/20      | LU | ripencc  |            | AS15965 CEGECOM SA - Luxembourg,LU
15965   | 195.43.97.162    | 195.43.96.0/19      | LU | ripencc  |            | AS15965 CEGECOM SA - Luxembourg,LU
15974   | 213.80.168.50    | 213.80.160.0/19     | RU | ripencc  | 2001-03-13 | VTT-AS JSC _Volgatranstelecom_,RU
15982   | 62.108.97.238    | 62.108.96.0/20      | RS | ripencc  | 2001-09-04 | VERAT-AS-1 BeotelNet-ISP d.o.o,RS
15991   | 137.61.238.46    | 137.61.0.0/16       | SE | ripencc  |            | SWEDISH_TAX_AGENCY Swedish Tax Agency,SE
15994   | 213.149.51.100   | 213.149.51.0/24     | HR | ripencc  | 2000-11-13 | ASN-DCM VIPnet d.o.o.,HR
15994   | 213.149.61.201   | 213.149.61.0/24     | HR | ripencc  | 2000-11-13 | ASN-DCM VIPnet d.o.o.,HR
15994   | 213.149.62.38    | 213.149.62.0/24     | HR | ripencc  | 2000-11-13 | ASN-DCM VIPnet d.o.o.,HR
16004   | 217.29.76.27     | 217.29.72.0/21      | IT | ripencc  | 2000-10-19 | MIXITA-AS MIX S.r.L. - Milan Internet eXchange,IT
16010   | 213.157.218.122  | 213.157.208.0/20    | GE | ripencc  | 2000-05-09 | CAUCASUSONLINEAS Caucasus Online Ltd.,GE
16016   | 217.72.77.16     | 217.72.64.0/20      | SI | ripencc  | 2000-11-24 | VOLJATEL-AS TUSMOBIL D.O.O.,SI
16019   | 46.135.225.252   | 46.135.0.0/16       | CZ | ripencc  | 2010-11-11 | VODAFONE-CZ-AS Vodafone Czech Republic a.s.,CZ
16019   | 46.135.61.0      | 46.135.0.0/16       | CZ | ripencc  | 2010-11-11 | VODAFONE-CZ-AS Vodafone Czech Republic a.s.,CZ
16019   | 82.142.96.177    | 82.142.64.0/18      | CZ | ripencc  | 2003-09-05 | VODAFONE-CZ-AS Vodafone Czech Republic a.s.,CZ
16020   | 94.139.98.106    | 94.139.96.0/20      | RU | ripencc  | 2008-11-26 | TASCOM OJS Moscow city telephone network,RU
16030   | 185.32.136.30    | 185.32.136.0/22     | ES | ripencc  | 2013-08-06 | ALTECOM Alta Tecnologia en Comunicacions, S.L,ES
16032   | 194.46.128.12    | 194.46.128.0/22     | GB | ripencc  |            | TIBUS-ULTRAFAST The Internet Business Ltd,GB
16058   | 41.159.133.225   | 41.159.128.0/18     | GA | afrinic  | 2008-06-24 | Gabon-Telecom,GA
16082   | 83.218.148.13    | 83.218.128.0/19     | GB | ripencc  | 2004-03-15 | SPITFIRE Spitfire Network Services Limited,GB
16083   | 109.238.252.18   | 109.238.240.0/20    | RU | ripencc  | 2010-01-28 | STACK-AS StackNet Service, LLC,RU
16086   | 178.55.93.243    | 178.55.0.0/16       | FI | ripencc  | 2010-01-19 | DNA DNA Oy,FI
16086   | 213.186.228.17   | 213.186.224.0/19    | FI | ripencc  | 2003-03-17 | DNA DNA Oy,FI
16086   | 62.197.161.12    | 62.197.160.0/19     | FI | ripencc  | 2002-03-20 | DNA DNA Oy,FI
16086   | 62.237.82.14     | 62.237.64.0/18      | FI | ripencc  | 2000-09-25 | DNA DNA Oy,FI
16086   | 62.78.198.92     | 62.78.128.0/17      | FI | ripencc  | 2001-09-18 | DNA DNA Oy,FI
16086   | 62.78.224.9      | 62.78.128.0/17      | FI | ripencc  | 2001-09-18 | DNA DNA Oy,FI
16086   | 81.175.215.42    | 81.175.128.0/17     | FI | ripencc  | 2003-06-10 | DNA DNA Oy,FI
16086   | 82.181.62.32     | 82.181.0.0/16       | FI | ripencc  | 2003-10-10 | DNA DNA Oy,FI
16086   | 82.181.64.27     | 82.181.0.0/16       | FI | ripencc  | 2003-10-10 | DNA DNA Oy,FI
16086   | 85.23.221.243    | 85.23.0.0/16        | FI | ripencc  | 2005-04-06 | DNA DNA Oy,FI
16086   | 87.100.197.155   | 87.100.128.0/17     | FI | ripencc  | 2005-09-13 | DNA DNA Oy,FI
16086   | 87.92.123.16     | 87.92.0.0/14        | FI | ripencc  | 2005-07-05 | DNA DNA Oy,FI
16086   | 87.92.249.126    | 87.92.0.0/14        | FI | ripencc  | 2005-07-05 | DNA DNA Oy,FI
16086   | 87.92.86.92      | 87.92.0.0/14        | FI | ripencc  | 2005-07-05 | DNA DNA Oy,FI
16097   | 109.104.54.68    | 109.104.32.0/19     | DE | ripencc  | 2009-08-26 | HLKOMM HL komm Telekommunikations GmbH,DE
16097   | 212.122.62.1     | 212.122.32.0/19     | DE | ripencc  | 2002-11-19 | HLKOMM HL komm Telekommunikations GmbH,DE
16117   | 213.141.76.246   | 213.141.64.0/19     | SE | ripencc  | 2000-03-28 | GAVLENET Gavle Energi AB,SE
16134   | 31.47.72.137     | 31.47.72.0/21       | ES | ripencc  | 2011-03-21 | NEODIGIT_AS Tecnocratica Centro de Datos, S.L.,ES
16141   | 212.70.224.63    | 212.70.224.0/19     | IT | ripencc  | 2000-05-26 | NETHOUSE Net Bull Srl,IT
16154   | 217.79.79.54     | 217.79.79.0/24      | BG | ripencc  | 2000-12-29 | TELECOMS-AS Telecoms-Net Ltd.,BG
16160   | 217.75.72.98     | 217.75.64.0/19      | SK | ripencc  | 2000-12-27 | SWAN SWAN a.s.,SK
16160   | 62.197.205.40    | 62.197.192.0/18     | SK | ripencc  | 2002-07-22 | SWAN SWAN a.s.,SK
16160   | 62.197.243.113   | 62.197.192.0/18     | SK | ripencc  | 2002-07-22 | SWAN SWAN a.s.,SK
16175   | 77.110.227.134   | 77.110.192.0/18     | NO | ripencc  | 2007-02-01 | SIGNAL Signal Bredband AS,NO
16175   | 89.162.64.162    | 89.162.64.0/21      | NO | ripencc  | 2006-02-15 | SIGNAL Signal Bredband AS,NO
16178   | 85.158.32.22     | 85.158.32.0/21      | BA | ripencc  | 2004-12-10 | LOGOSOFT-AS Logosoft d.o.o.,BA
16188   | 217.29.33.50     | 217.29.32.0/20      | DE | ripencc  | 2000-10-19 | PUNKT punkt.de GmbH,DE
16190   | 217.113.3.44     | 217.113.0.0/22      | AM | ripencc  | 2001-01-12 | AS16190 WEB Ltd,AM
16190   | 217.113.4.12     | 217.113.4.0/22      | AM | ripencc  | 2001-01-12 | AS16190 WEB Ltd,AM
16191   | 81.30.1.158      | 81.30.0.0/20        | IT | ripencc  | 2002-05-08 | ICANET-AS ICA-NET SRL,IT
16202   | 92.206.40.43     | 92.206.0.0/17       | DE | ripencc  | 2007-10-17 | PRIMACOM-AS PrimaCom Berlin GmbH,DE
16202   | 92.206.52.143    | 92.206.0.0/17       | DE | ripencc  | 2007-10-17 | PRIMACOM-AS PrimaCom Berlin GmbH,DE
16218   | 217.113.43.165   | 217.113.32.0/20     | DE | ripencc  | 2001-01-15 | ASN-IACD IACD Autonomous System,DE
16234   | 185.11.182.43    | 185.11.180.0/22     | NO | ripencc  | 2012-11-29 | STAYON Stayon AS,NO
16234   | 37.44.185.99     | 37.44.128.0/18      | NO | ripencc  | 2012-01-09 | STAYON Stayon AS,NO
16242   | 213.188.32.213   | 213.188.32.0/19     | CH | ripencc  | 2001-02-06 | MHS mhs internet AG,CH
16242   | 62.32.29.68      | 62.32.0.0/19        | CH | ripencc  |            | MHS mhs internet AG,CH
16245   | 89.186.160.1     | 89.186.160.0/19     | DK | ripencc  | 2006-04-20 | NGDC NetGroup A/S,DK
16245   | 89.186.171.230   | 89.186.160.0/19     | DK | ripencc  | 2006-04-20 | NGDC NetGroup A/S,DK
16246   | 188.175.127.18   | 188.175.0.0/16      | CZ | ripencc  | 2009-08-24 | AS16246 RIO Media a.s.,CZ
16246   | 188.175.53.249   | 188.175.0.0/16      | CZ | ripencc  | 2009-08-24 | AS16246 RIO Media a.s.,CZ
16246   | 188.175.62.218   | 188.175.0.0/16      | CZ | ripencc  | 2009-08-24 | AS16246 RIO Media a.s.,CZ
16246   | 188.175.62.72    | 188.175.0.0/16      | CZ | ripencc  | 2009-08-24 | AS16246 RIO Media a.s.,CZ
16246   | 188.175.63.14    | 188.175.0.0/16      | CZ | ripencc  | 2009-08-24 | AS16246 RIO Media a.s.,CZ
16246   | 188.175.7.132    | 188.175.0.0/16      | CZ | ripencc  | 2009-08-24 | AS16246 RIO Media a.s.,CZ
16246   | 82.150.170.238   | 82.150.160.0/19     | CZ | ripencc  | 2003-08-25 | AS16246 RIO Media a.s.,CZ
16246   | 82.150.180.11    | 82.150.160.0/19     | CZ | ripencc  | 2003-08-25 | AS16246 RIO Media a.s.,CZ
16246   | 86.63.211.55     | 86.63.192.0/19      | CZ | ripencc  | 2005-06-29 | AS16246 RIO Media a.s.,CZ
16276   | 178.32.63.206    | 178.32.0.0/15       | FR | ripencc  | 2010-01-19 | OVH OVH SAS,FR
16276   | 178.33.23.163    | 178.32.0.0/15       | FR | ripencc  | 2010-01-19 | OVH OVH SAS,FR
16276   | 178.33.23.172    | 178.32.0.0/15       | FR | ripencc  | 2010-01-19 | OVH OVH SAS,FR
16276   | 185.12.32.16     | 185.12.32.0/23      | FR | ripencc  | 2012-12-03 | OVH OVH SAS,FR
16276   | 192.95.24.4      | 192.95.0.0/18       | CA | arin     | 2012-12-07 | OVH OVH SAS,FR
16276   | 37.187.98.22     | 37.187.0.0/16       | FR | ripencc  | 2012-03-20 | OVH OVH SAS,FR
16276   | 37.187.98.22     | 37.187.0.0/16       | FR | ripencc  | 2012-03-20 | OVH OVH SAS,FR
16276   | 5.196.210.254    | 5.196.0.0/16        | FR | ripencc  | 2012-08-23 | OVH OVH SAS,FR
16276   | 5.39.40.159      | 5.39.0.0/17         | FR | ripencc  | 2012-05-15 | OVH OVH SAS,FR
16276   | 94.23.223.108    | 94.23.0.0/16        | FR | ripencc  | 2008-07-15 | OVH OVH SAS,FR
16281   | 217.117.233.110  | 217.117.224.0/20    | NL | ripencc  | 2001-02-08 | UTELISYS Utelisys Communications B.V.,NL
16284   | 41.73.226.148    | 41.73.226.0/24      | NG | afrinic  | 2010-04-06 | UNSPECIFIED,NG
16298   | 217.119.10.4     | 217.119.0.0/20      | NL | ripencc  | 2001-02-13 | INTERBOX-AS Lubbers Box Telematica BV,NL
16300   | 109.234.130.216  | 109.234.128.0/22    | RU | ripencc  | 2010-01-15 | INTERTAX-AREA JSC Intertax,RU
16301   | 78.81.224.20     | 78.81.192.0/18      | RU | ripencc  | 2007-03-27 | DATACOM-AS PJSC Rostelecom,RU
16302   | 217.119.37.134   | 217.119.32.0/20     | FI | ripencc  | 2001-02-14 | SUOMICOMMUNICATIONS Suomi Communications Oy,FI
16316   | 217.145.98.130   | 217.145.96.0/20     | DE | ripencc  | 2001-02-22 | TMT TMT GmbH & Co. KG,DE
16316   | 217.145.98.130   | 217.145.96.0/20     | DE | ripencc  | 2001-02-22 | TMT TMT GmbH & Co. KG,DE
16322   | 37.27.119.139    | 37.27.96.0/19       | IR | ripencc  | 2011-12-28 | PARSONLINE Pars Online PJS,IR
